country,decade,population
Luxembourg,1450.0,79950.0
Luxembourg,1460.0,83460.0
Luxembourg,1470.0,86970.0
Luxembourg,1480.0,90480.0
Luxembourg,1490.0,93990.0
Luxembourg,1500.0,97500.0
Luxembourg,1510.0,99450.0
Luxembourg,1520.0,101400.0
Luxembourg,1530.0,103350.0
Luxembourg,1540.0,105300.0
Luxembourg,1550.0,107250.0
Luxembourg,1560.0,109200.0
Luxembourg,1570.0,111150.0
Luxembourg,1580.0,113100.0
Luxembourg,1590.0,115050.0
Luxembourg,1600.0,117e3
Luxembourg,1610.0,118950.0
Luxembourg,1620.0,120900.0
Luxembourg,1630.0,122850.0
Luxembourg,1640.0,124800.0
Luxembourg,1650.0,126750.0
Luxembourg,1660.0,128700.0
Luxembourg,1670.0,130650.0
Luxembourg,1680.0,132600.0
Luxembourg,1690.0,134550.0
Luxembourg,1700.0,136500.0
Luxembourg,1710.0,148200.0
Luxembourg,1720.0,159900.0
Luxembourg,1730.0,171600.0
Luxembourg,1740.0,183300.0
Luxembourg,1750.0,195e3
Luxembourg,1760.0,206700.0
Luxembourg,1770.0,218400.0
Luxembourg,1780.0,230100.0
Luxembourg,1790.0,241800.0
Luxembourg,1800.0,253500.0
Luxembourg,1810.0,282750.0
Luxembourg,1820.0,312e3
Luxembourg,1830.0,341250.0
Luxembourg,1840.0,370500.0
Luxembourg,1850.0,399750.0
Luxembourg,1860.0,429e3
Luxembourg,1870.0,458250.0
Luxembourg,1880.0,487500.0
Luxembourg,1890.0,516750.0
Luxembourg,1900.0,546e3
Netherlands,1300.0,8e5
Netherlands,1310.0,78e4
Netherlands,1320.0,76e4
Netherlands,1330.0,74e4
Netherlands,1340.0,72e4
Netherlands,1350.0,7e5
Netherlands,1360.0,68e4
Netherlands,1370.0,66e4
Netherlands,1380.0,64e4
Netherlands,1390.0,62e4
Netherlands,1400.0,6e5
Netherlands,1410.0,63e4
Netherlands,1420.0,66e4
Netherlands,1430.0,69e4
Netherlands,1440.0,72e4
Netherlands,1450.0,75e4
Netherlands,1460.0,78e4
Netherlands,1470.0,81e4
Netherlands,1480.0,84e4
Netherlands,1490.0,87e4
Netherlands,1500.0,9e5
Netherlands,1510.0,96e4
Netherlands,1520.0,102e4
Netherlands,1530.0,108e4
Netherlands,1540.0,114e4
Netherlands,1550.0,12e5
Netherlands,1560.0,126e4
Netherlands,1570.0,132e4
Netherlands,1580.0,138e4
Netherlands,1590.0,144e4
Netherlands,1600.0,15e5
Netherlands,1610.0,155e4
Netherlands,1620.0,16e5
Netherlands,1630.0,165e4
Netherlands,1640.0,17e5
Netherlands,1650.0,175e4
Netherlands,1660.0,18e5
Netherlands,1670.0,185e4
Netherlands,1680.0,19e5
Netherlands,1690.0,195e4
Netherlands,1700.0,2e6
Netherlands,1710.0,2e6
Netherlands,1720.0,2e6
Netherlands,1730.0,2e6
Netherlands,1740.0,2e6
Netherlands,1750.0,2e6
Netherlands,1760.0,2e6
Netherlands,1770.0,2e6
