country,decade,century,trials,battles,population,trials.mil,battles.mil,ln.trials,ln.trials.mil,ln1p.trials,ln1p.trials.mil,battles.tp1,battles.tp2,battles.tp3,battles.mil.tp1,battles.mil.tp2,battles.mil.tp3,weather,urbanization,real.wage,taxes.percap,temperature
Austria,1820.0,1800.0,0.0,0.0,36e5,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,11.6,NA,NA,NA
Austria,1830.0,1800.0,0.0,0.0,39e5,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,NA,NA,11.6,NA,NA,NA
Austria,1840.0,1800.0,0.0,0.0,42e5,0.0,0.0,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA,NA,11.6,NA,NA,NA
Austria,1850.0,1800.0,0.0,0.0,45e5,0.0,0.0,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,11.6,NA,NA,NA
Belgium,1300.0,1300.0,0.0,0.0,1152500.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,15.705,NA,NA,NA
Belgium,1310.0,1300.0,0.0,0.0,1111010.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,15.705,NA,NA,NA
Belgium,1320.0,1300.0,0.0,0.0,1069520.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,15.705,NA,NA,NA
Belgium,1330.0,1300.0,0.0,0.0,1028030.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,15.705,NA,NA,NA
Belgium,1340.0,1300.0,0.0,0.0,986540.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,15.705,NA,NA,NA
Belgium,1350.0,1300.0,0.0,0.0,945050.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,15.705,NA,NA,NA
Belgium,1360.0,1300.0,0.0,0.0,903560.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,15.705,NA,NA,NA
Belgium,1370.0,1300.0,0.0,0.0,862070.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,15.705,NA,NA,NA
Belgium,1380.0,1300.0,1.0,0.0,820580.0,1.219,0.0,0.0,0.19803085049913455,0.6931471805599453,0.79705664395045694,0.0,0.0,0.0,0.0,0.0,0.0,NA,15.705,NA,NA,NA
