decade,country,temperature,avg.temp,sd.temp,zscore.temp
1630.0,Netherlands,9.171,8.9049,0.2845406085161429,0.93519164588735
1640.0,Netherlands,8.909,8.9049,0.2845406085161429,0.01440919108658087
1650.0,Netherlands,8.918,8.9049,0.2845406085161429,0.04603912274003752
1660.0,Netherlands,8.902,8.9049,0.2845406085161429,-0.010191866866116653
1670.0,Netherlands,8.664,8.9049,0.2845406085161429,-0.8466278372576577
1680.0,Netherlands,8.992,8.9049,0.2845406085161429,0.30610744966850606
1690.0,Netherlands,8.048,8.9049,0.2845406085161429,-3.0115209370945903
1500.0,Northern Ireland,8.436,8.254,0.18103271004231028,1.0053431778017576
1510.0,Northern Ireland,8.173,8.254,0.18103271004231028,-0.4474329527579215
1520.0,Northern Ireland,8.384,8.254,0.18103271004231028,0.7181022698584011
1530.0,Northern Ireland,8.518,8.254,0.18103271004231028,1.4582999941739814
1540.0,Northern Ireland,8.246,8.254,0.18103271004231028,-0.044190908914358014
1550.0,Northern Ireland,8.422,8.254,0.18103271004231028,0.9280090872016262
1560.0,Northern Ireland,8.222,8.254,0.18103271004231028,-0.17676363565745168
1570.0,Northern Ireland,8.13,8.254,0.18103271004231028,-0.6849590881726179
1580.0,Northern Ireland,8.171,8.254,0.18103271004231028,-0.4584806799865159
1590.0,Northern Ireland,8.189,8.254,0.18103271004231028,-0.35905113492919566
1600.0,Northern Ireland,8.233,8.254,0.18103271004231028,-0.11600113590019714
1610.0,Northern Ireland,8.311,8.254,0.18103271004231028,0.31486022601483765
1620.0,Northern Ireland,8.106,8.254,0.18103271004231028,-0.8175318149157116
1630.0,Northern Ireland,8.499,8.254,0.18103271004231028,1.3533465855023687
1640.0,Northern Ireland,8.29,8.254,0.18103271004231028,0.19885909011463068
1650.0,Northern Ireland,8.294,8.254,0.18103271004231028,0.2209545445718195
1660.0,Northern Ireland,8.232,8.254,0.18103271004231028,-0.12152499951449926
1670.0,Northern Ireland,8.035,8.254,0.18103271004231028,-1.2097261315306806
1680.0,Northern Ireland,8.45,8.254,0.18103271004231028,1.082677268401889
1690.0,Northern Ireland,7.739,8.254,0.18103271004231028,-2.8447897613621085
1500.0,Norway,1.066,0.9291,0.26175699859944423,0.523004163145576
1510.0,Norway,0.885,0.9291,0.26175699859944423,-0.16847687066997744
1520.0,Norway,1.26,0.9291,0.26175699859944423,1.26414958060534
1530.0,Norway,1.235,0.9291,0.26175699859944423,1.1686411505203191
1540.0,Norway,0.905,0.9291,0.26175699859944423,-0.09207012660196043
1550.0,Norway,1.156,0.9291,0.26175699859944423,0.8668345114516516
1560.0,Norway,0.842,0.9291,0.26175699859944423,-0.33275137041621394
1570.0,Norway,0.944,0.9291,0.26175699859944423,0.05692302433067228
1580.0,Norway,1.024,0.9291,0.26175699859944423,0.36255000060274023
1590.0,Norway,0.886,0.9291,0.26175699859944423,-0.16465653346657658
1600.0,Norway,0.814,0.9291,0.26175699859944423,-0.43972081211143776
1610.0,Norway,1.045,0.9291,0.26175699859944423,0.44277708187415765
1620.0,Norway,0.723,0.9291,0.26175699859944423,-0.7873714976209146
1630.0,Norway,1.155,0.9291,0.26175699859944423,0.8630141742482511
1640.0,Norway,0.997,0.9291,0.26175699859944423,0.2594008961109173
1650.0,Norway,0.935,0.9291,0.26175699859944423,0.022539989500065055
1660.0,Norway,0.834,0.9291,0.26175699859944423,-0.36331406804342076
1670.0,Norway,0.527,0.9291,0.26175699859944423,-1.5361575894874804
1680.0,Norway,1.214,0.9291,0.26175699859944423,1.0884140692489008
1690.0,Norway,0.135,0.9291,0.26175699859944423,-3.033729773220612
1500.0,Poland,7.462,7.27635,0.26726830103258054,0.6946203469799764
1510.0,Poland,7.179,7.27635,0.26726830103258054,-0.3642407259816885
1520.0,Poland,7.708,7.27635,0.26726830103258054,1.6150437531586708
1530.0,Poland,7.745,7.27635,0.26726830103258054,1.7534814199416446
1540.0,Poland,7.382,7.27635,0.26726830103258054,0.3952956620438159
1550.0,Poland,7.53,7.27635,0.26726830103258054,0.9490463291757145
1560.0,Poland,7.094,7.27635,0.26726830103258054,-0.6822732037263587
1570.0,Poland,7.249,7.27635,0.26726830103258054,-0.10233162666255056
1580.0,Poland,7.356,7.27635,0.26726830103258054,0.29801513943956454
1590.0,Poland,7.108,7.27635,0.26726830103258054,-0.6298913838625331
1600.0,Poland,7.193,7.27635,0.26726830103258054,-0.31185890611786293
1610.0,Poland,7.455,7.27635,0.26726830103258054,0.6684294370480636
1620.0,Poland,7.248,7.27635,0.26726830103258054,-0.1060731852242505
1630.0,Poland,7.392,7.27635,0.26726830103258054,0.4327112476608384
1640.0,Poland,7.258,7.27635,0.26726830103258054,-0.06865759960723125
1650.0,Poland,7.226,7.27635,0.26726830103258054,-0.18838747358169547
1660.0,Poland,7.208,7.27635,0.26726830103258054,-0.25573552769233077
1670.0,Poland,7.018,7.27635,0.26726830103258054,-0.9666316544157127
1680.0,Poland,7.236,7.27635,0.26726830103258054,-0.15097188796467623
1690.0,Poland,6.48,7.27635,0.26726830103258054,-2.979590160611388
1500.0,Portugal,14.539,14.40485,0.11159667746421748,1.2020967205140498
1510.0,Portugal,14.332,14.40485,0.11159667746421748,-0.652797212742805
1520.0,Portugal,14.439,14.40485,0.11159667746421748,0.30601269478609927
1530.0,Portugal,14.636,14.40485,0.11159667746421748,2.071298225470161
1540.0,Portugal,14.419,14.40485,0.11159667746421748,0.12679588964051236
1550.0,Portugal,14.513,14.40485,0.11159667746421748,0.9691148738247836
1560.0,Portugal,14.379,14.40485,0.11159667746421748,-0.23163772065067736
1570.0,Portugal,14.185,14.40485,0.11159667746421748,-1.970040730562899
1580.0,Portugal,14.294,14.40485,0.11159667746421748,-0.9933091425194297
1590.0,Portugal,14.304,14.40485,0.11159667746421748,-0.9037007399466362
