event,lon,lat
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.002119086590909,47.2256975175
Witchcraft trial,9.002119086590909,47.2256975175
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.605943817818181,46.348515736
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.746545748507463,46.229242182388056
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.746545748507463,46.229242182388056
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.674357632786885,46.474544024590166
Witchcraft trial,8.746545748507463,46.229242182388056
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.605943817818181,46.348515736
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.605943817818181,46.348515736
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.995135225714286,46.327108219428574
Witchcraft trial,8.615291606551724,46.790056688850576
Witchcraft trial,8.615291606551724,46.790056688850576
Witchcraft trial,8.526179551944445,47.16534264944444
Witchcraft trial,8.526179551944445,47.16534264944444
Witchcraft trial,8.526179551944445,47.16534264944444
Witchcraft trial,8.526179551944445,47.16534264944444
Witchcraft trial,8.526179551944445,47.16534264944444
Witchcraft trial,10.042,47.695
Witchcraft trial,10.042,47.695
Witchcraft trial,10.0708,48.0917
Witchcraft trial,8.67243,49.3988
Witchcraft trial,8.67243,49.3988
Witchcraft trial,10.2207,47.5592
Witchcraft trial,10.4895,48.8508
Witchcraft trial,10.8704,48.0508
Witchcraft trial,11.863,48.1909
Witchcraft trial,10.8978,48.3705
Witchcraft trial,11.863,48.1909
Witchcraft trial,11.582,48.1351
Witchcraft trial,10.4895,48.8508
Witchcraft trial,12.0294,48.7012
Witchcraft trial,12.4852,48.6435
Witchcraft trial,11.863,48.1909
Witchcraft trial,10.4895,48.8508
