country,decade,real.wage
Spain,1500.0,9.9618987838
Spain,1510.0,10.4593185982
Spain,1520.0,8.4179016832
Spain,1530.0,8.0694940419
Spain,1540.0,7.6075379881
Spain,1550.0,6.458845904736842
Spain,1560.0,7.3869018797
Spain,1570.0,6.8219116682
Spain,1580.0,7.08262864995
Spain,1590.0,6.88262660485
Spain,1600.0,6.8624120978
Spain,1610.0,7.35964779685
Spain,1620.0,7.52677202685
Spain,1630.0,7.3106325191499995
Spain,1640.0,6.9277715222000005
Spain,1650.0,6.82403350455
Spain,1660.0,6.8346007340499995
Spain,1670.0,8.0590429078
Spain,1680.0,7.13122062575
Spain,1690.0,7.7747018108
Spain,1700.0,7.4738665266
Spain,1710.0,7.6059125735
Spain,1720.0,8.27119302485
Spain,1730.0,7.0820509679
Spain,1740.0,7.24229803385
Spain,1750.0,6.21284380945
Spain,1760.0,5.4570294808
Spain,1770.0,5.35425877735
Spain,1780.0,5.223816688625
Spain,1790.0,5.545411574
Spain,1800.0,6.1728773745000005
Spain,1810.0,6.7661782867
Spain,1820.0,10.7354952824
Spain,1830.0,9.0418759666
Spain,1840.0,9.9903777345
Spain,1850.0,10.1234404458
Spain,1860.0,8.7219758477
Spain,1870.0,9.8023009398
Spain,1880.0,8.667509929
Spain,1890.0,9.1552971823
Spain,1900.0,7.9123701257
Spain,1910.0,10.777008765
Ukraine,1260.0,NA
Ukraine,1270.0,NA
Ukraine,1280.0,NA
Ukraine,1290.0,NA
Ukraine,1300.0,NA
Ukraine,1310.0,NA
Ukraine,1320.0,NA
Ukraine,1330.0,NA
Ukraine,1340.0,NA
Ukraine,1350.0,NA
Ukraine,1360.0,NA
Ukraine,1370.0,NA
Ukraine,1380.0,NA
Ukraine,1390.0,NA
Ukraine,1400.0,NA
Ukraine,1410.0,NA
Ukraine,1420.0,NA
Ukraine,1430.0,NA
Ukraine,1440.0,NA
Ukraine,1450.0,NA
Ukraine,1460.0,NA
Ukraine,1470.0,NA
Ukraine,1480.0,NA
Ukraine,1490.0,NA
Ukraine,1500.0,NA
Ukraine,1510.0,NA
Ukraine,1520.0,9.5481488697
Ukraine,1530.0,9.7792084376
Ukraine,1540.0,9.5751709593
Ukraine,1550.0,7.9505483678
Ukraine,1560.0,8.6391652461
Ukraine,1570.0,8.4919195104
Ukraine,1580.0,10.9764407072
Ukraine,1590.0,9.5995461798
Ukraine,1600.0,8.3696958203
Ukraine,1610.0,8.4645529054
Ukraine,1620.0,9.3463348311
Ukraine,1630.0,7.7886672114
Ukraine,1640.0,6.7034411643
Ukraine,1650.0,5.0809576619
Ukraine,1660.0,5.3304488522
Ukraine,1670.0,5.184242922
Ukraine,1680.0,4.9384529895
Ukraine,1690.0,4.40345282
Ukraine,1700.0,5.0572663687
Ukraine,1710.0,4.8081620091
Ukraine,1720.0,5.5020333027
Ukraine,1730.0,4.635128631
Ukraine,1740.0,4.0169831385
Ukraine,1750.0,4.1685013176
Ukraine,1760.0,3.7600370441999997
Ukraine,1770.0,3.7115558432999998
Ukraine,1780.0,3.9868314243
Ukraine,1790.0,4.653506842857143
Ukraine,1800.0,NA
Ukraine,1810.0,NA
Ukraine,1820.0,NA
Ukraine,1830.0,NA
Ukraine,1840.0,NA
Ukraine,1850.0,NA
Ukraine,1860.0,NA
Ukraine,1870.0,NA
Ukraine,1880.0,NA
Ukraine,1890.0,NA
Ukraine,1900.0,NA
Ukraine,1910.0,NA
