year,Antwerp,Amsterdam,London,Oxford,Paris,Strasbourg,Florence,Milan,Naples,Valencia,Madrid,Augsburg,Leipzig,Munich,Vienna,Gdansk,Krakow,Warsaw,Lwow,Hamburg
1423,11.59774191,,13.85318751,10.38989064,,9.098335993,10.79914196,,,10.22137482,,,,,,,10.2705701,,,
1424,11.52214149,,12.79481541,9.596111558,,9.172497665,14.17015235,,,10.37063565,,,,,,,10.27380805,,,
1425,11.65197543,,13.904631,10.42847325,,9.139196194,12.39202153,,,9.835349138,,,,,,,10.27704804,,,
1426,11.34418578,,14.24527601,10.68395701,,9.149099562,11.81473693,,,9.439388902,,,,,,,9.214741035,,,
1427,11.23797989,,14.00935056,10.50701292,,10.76643277,12.47505082,,,9.123654364,,,,10.58391632,,,10.70381659,,,
1428,11.11693369,,10.81065614,8.107992101,,10.36746183,14.97075851,,,9.972571447,,,,9.683637011,,,10.37330091,,,
1429,12.08682828,,10.90425803,8.178193519,,8.933632943,15.61702399,,,10.76555357,,,,9.683637011,,,10.54881903,,,
1430,9.301648799,,12.12920121,9.096900906,,9.173112342,13.20681739,,,9.392879665,,,,9.683637011,,,10.50336865,,,
1431,10.32162221,,12.75259621,9.564447156,7.102634683,9.48706794,8.588349934,,,9.615772679,,,,9.683637011,,,9.718798196,,,
1432,11.25166149,,11.46766031,8.600745232,7.670508287,9.782443922,7.627971778,,,8.957041779,,,,9.608660782,,,9.80618757,,,
1433,10.63707183,,12.12213887,9.091604151,4.996353148,9.715266571,11.51335256,,,9.505235442,,,,8.604875373,,,9.743998028,,,
1434,13.47485785,,12.5480211,9.411015828,8.105381626,9.716552741,11.99298744,,,9.970140461,,,,9.879619352,,,9.598785616,,,
1435,12.49481138,,12.64132139,9.480991041,8.7493552,9.617603119,10.59751214,,,8.432448593,,,,11.20367503,,,9.601837131,,,
1436,11.70160268,,12.50728084,9.380460629,10.63796974,9.610728182,8.05188989,,,8.964377949,,,,10.05022932,,,9.604890586,,,
1437,8.600529405,,10.67370081,8.005275608,5.802191019,9.868845195,10.23773152,,,9.316041453,,,,9.922039062,,,9.463764722,,,
1438,9.419163043,,8.777003447,6.582752585,4.697355832,9.251993305,11.35934424,,,9.227466292,,,,10.04667472,,,9.466730979,,,
1439,11.26621225,,11.02465167,8.268488756,5.668682794,8.655928568,8.511715329,,,8.854244133,,,,9.289831029,,,9.469699096,,,
1440,11.34501536,,13.28409458,9.963070932,9.803949862,7.418565654,7.644692673,,,9.201096267,,,,9.131005959,14.42863165,,9.332489667,,,
1441,10.89790409,,13.24549851,9.934123885,11.11595317,9.380597855,6.938326706,,,9.945346503,,,,9.305730517,13.41683677,,9.33537419,,,
1442,11.29124695,,12.96423967,9.723179749,9.676110807,9.374142445,6.72882568,,,9.055674733,,,,9.305730517,13.45461707,,9.126539914,,,
1443,14.37804255,,13.06127401,9.795955508,8.087648158,11.45874874,13.41588695,,,9.506700705,,,,9.326572642,12.97121411,,9.020480652,,,
