France,Aire,NA,NA,NA,NA,2,5,NA,NA,NA,NA,6,9
France,Aix,NA,NA,NA,15,6,4,13,18,27,25,21,24
France,Ajaccio,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,10
France,Albi,NA,NA,NA,NA,7,NA,8,7,10,8,10,14
France,Alencon,NA,NA,NA,NA,NA,NA,NA,NA,10,12,13,15
France,Ales,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,9,19
France,Ambert,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,8
France,Amboise,NA,NA,NA,NA,NA,5,NA,NA,NA,6,5,4
France,Amiens,NA,NA,10,12,21,NA,20,25,35,35,40,52
France,Anduze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4
France,Angers,NA,NA,15,30,33,25,13,26,29,25,32,46
France,Angouleme,NA,NA,NA,NA,5,NA,NA,NA,NA,9,15,19
France,Annecy,NA,NA,NA,NA,1,1,2,NA,5,4,5,5
France,Annonay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11
France,Antibes,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,4
France,Apt,NA,NA,NA,NA,2,NA,NA,NA,5,5,5,6
France,Arbois,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,6
France,Argentan,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6
France,Argenteuil,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5
France,Arles,NA,NA,NA,20,8,5,10,16,23,22,17,23
France,Armentieres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9
France,Arras,NA,NA,NA,20,30,10,11,20,15,17,19,25
France,Aubagne,NA,NA,NA,NA,NA,NA,NA,NA,4,5,7,6
France,Auch,NA,NA,NA,NA,NA,NA,NA,5,6,8,10,12
France,Aurillac,NA,NA,NA,NA,NA,NA,NA,8,8,7,9,11
France,Autun,NA,NA,NA,NA,7,NA,NA,NA,NA,3,9,12
France,Auxerre,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,14
France,Avallon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6
France,Avignon,NA,NA,NA,13,6,30,18,26,24,26,30,35
France,Avranches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9
France,Bagneres-De-Bigorre,NA,NA,NA,NA,5,1,NA,NA,NA,5,5,6
France,Bagnols,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,4
France,Bailleul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10
France,Barcelonnette,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2
France,Bar-Le-Duc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,15
France,Bastia,NA,NA,NA,NA,NA,NA,NA,1,3,6,11,22
France,Bayeux,NA,NA,NA,NA,NA,NA,NA,6,7,7,10,9
France,Bayonne,NA,NA,NA,NA,15,NA,NA,NA,10,11,12,18
France,Beaucaire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10
France,Beaugency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
France,Beaune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10
France,Beauvais,NA,NA,NA,12,16,NA,10,12,12,12,13,14
France,Bedarrieux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10
France,Belfort,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,8
France,Bergerac,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10
France,Bergues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6
France,Bernay,NA,NA,NA,NA,NA,NA,NA,NA,5,7,5,7
France,Besancon,NA,NA,NA,NA,8,NA,9,12,12,25,30,41
France,Bethune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7
France,Beziers,NA,NA,NA,10,16,4,6,NA,13,13,15,20
France,Billom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3
France,Blois,NA,NA,NA,NA,5,NA,NA,NA,10,11,11,18
France,Bonifacio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3
France,Bonnetable,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3
France,Bordeaux,NA,NA,NA,15,30,30,50,40,45,62,96,130
France,Boulogne,NA,NA,NA,NA,NA,NA,2,NA,4,NA,11,29
France,Bourbourg,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2
France,Bourg-En-Bresse,NA,NA,NA,NA,NA,NA,5,5,6,6,7,12
France,Bourges,NA,NA,NA,NA,16,18,32,18,14,16,15,19
France,Brest,NA,NA,NA,NA,NA,NA,1,3,15,30,26,61
France,Brignoles,NA,NA,NA,NA,2,NA,NA,NA,5,5,5,6
France,Brioude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
France,Brive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9
France,Brouage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
France,Caen,NA,NA,20,12,15,18,25,30,27,35,35,45
France,Cahors,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,10,13
France,Calais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,20
France,Cambrai,NA,NA,NA,NA,NA,10,NA,12,12,13,15,21
France,Cannes,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,6
France,Carcassonne,NA,NA,NA,NA,11,6,NA,NA,11,12,15,20
France,Carpentras,NA,NA,NA,NA,2,NA,3,NA,5,NA,8,11
France,Castelnaudary,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,8,8
France,Castelsarrasin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7
France,Castres,NA,NA,NA,NA,NA,NA,NA,NA,8,9,13,21
France,Cavaillon,NA,NA,NA,NA,2,NA,NA,4,NA,6,6,7
France,Chalons-Sur-Marne,NA,NA,NA,12,10,NA,NA,NA,11,12,11,16
France,Chalon-Sur-Saone,NA,NA,NA,NA,3,NA,8,NA,NA,5,11,16
France,Chambery,NA,NA,NA,NA,2,NA,2,2,10,9,10,13
France,Charleville,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,9
France,Chartres,NA,NA,NA,7,9,NA,NA,NA,12,10,16,18
France,Chateaudun,NA,NA,NA,NA,NA,NA,10,7,5,6,6,6
France,Chateau-Gontier,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,7
France,Chateauroux,NA,NA,NA,NA,NA,NA,NA,NA,4,6,9,13
France,Chatellerault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10
France,Chaumont,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,6
France,Cherbourg,NA,NA,NA,NA,NA,NA,NA,NA,4,5,11,28
France,Chinon,NA,NA,NA,NA,NA,6,NA,NA,NA,6,5,7
France,Cholet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8
France,Clamecy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6
France,Clermont-Ferrand,NA,NA,NA,NA,5,NA,3,NA,12,24,24,33
France,Clermont-L'herault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6
France,Cluny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4
France,Colmar,NA,NA,NA,NA,5,4,8,NA,8,10,11,16
France,Comines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
France,Compiegne,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,9
France,Conde-Sur-L'escaut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3
France,Conde-Sur-Noireau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6
France,Condom,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7
France,Condrieu,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2
France,Corte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
France,Cosne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
France,Coulommiers,NA,NA,NA,NA,NA,NA,NA,4,3,NA,3,4
France,Coutances,NA,NA,NA,NA,NA,NA,NA,NA,6,8,8,8
France,Cuers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6
France,Darnetal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6
France,Dax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
France,Die,NA,NA,NA,NA,NA,2,NA,NA,2,3,4,4
France,Dieppe,NA,NA,NA,NA,3,NA,20,30,8,13,17,18
France,Digne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5
France,Dijon,NA,NA,3,NA,17,11,13,21,21,31,19,32
France,Dinan,NA,NA,NA,NA,NA,NA,NA,6,10,NA,7,7
France,Dole,NA,NA,NA,NA,NA,NA,NA,5,5,7,9,11
France,Douai,NA,NA,NA,NA,30,NA,10,NA,13,21,18,16
France,Draguignan,NA,NA,NA,NA,2,NA,NA,NA,5,5,8,9
France,Dreux,NA,NA,NA,NA,NA,NA,8,5,5,NA,5,7
France,Dunkerque,NA,NA,NA,NA,NA,NA,7,10,13,15,21,28
France,Elbeuf,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,17
France,Epernay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7
France,Epinal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10
France,Etampes,NA,NA,NA,NA,NA,NA,NA,NA,5,6,7,8
France,Eu,NA,NA,NA,NA,NA,NA,NA,NA,6,8,3,2
France,Evreux,NA,NA,NA,NA,NA,NA,NA,NA,5,6,10,9
France,Falaise,NA,NA,NA,NA,NA,NA,NA,NA,6,8,10,9
France,Fecamp,NA,NA,NA,NA,NA,NA,NA,NA,4,5,8,10
France,Figeac,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7
France,Fontainebleau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10
France,Fontenay-Le-Comte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8
France,Fougeres,NA,NA,NA,NA,NA,NA,4,NA,4,10,7,8
France,Gaillac,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,8
France,Gap,NA,NA,NA,NA,NA,8,NA,NA,5,NA,9,9
France,Gentilly,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,20
France,Givors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
France,Granville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11
France,Grasse,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,7
France,Gray,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,7
France,Grenoble,NA,NA,NA,NA,3,2,2,12,20,23,20,31
France,Guerande,NA,NA,NA,NA,NA,3,4,NA,NA,NA,8,9
France,Guingamp,NA,NA,NA,NA,NA,3,4,NA,NA,NA,5,6
France,Haguenau,NA,NA,NA,NA,NA,4,6,NA,3,3,7,8
France,Hasparren,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
France,Hazebrouck,NA,NA,NA,NA,NA,NA,3,NA,4,NA,4,5
France,Herbault,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,1
France,Hesdin,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,3,3
France,Hondschoote,NA,NA,NA,NA,NA,NA,12,4,4,NA,4,2
France,Honfleur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9
France,Hyeres,NA,NA,NA,NA,2,NA,NA,NA,4,5,7,10
France,Issoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6
France,Issoudun,NA,NA,NA,NA,NA,NA,NA,NA,6,8,11,13
France,Joigny,NA,NA,NA,NA,NA,NA,NA,7,5,NA,5,6
France,La Charite-Sur-Loire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
France,La Ciotat,NA,NA,NA,NA,NA,NA,NA,NA,4,6,5,5
France,La Fleche,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7
France,La Rochelle,NA,NA,NA,NA,2,NA,NA,23,14,16,19,14
